,vendor,name,weight,thc,cbd,price
0,GROWER,LLR CARTS ,WT,THC,CBD,$
1,Cresco, Durban    ,500mg,68.42%,0.10%,$50
2,Cresco, Ghost Train Haze    ,500mg,74.54%,0.13%,$50
3,Cresco, Lime Skunk    ,500mg,76.17%,0.13%,$50
4,Rythm, Citrus Sap    ,500mg,79.36%,0.00%,$60
5,Rythm, Sour Diesel    ,500mg,80.09%,0.00%,$60
6,Cresco, Chaos Kush    ,500mg,72.75%,0.14%,$50
7,Cresco, Green Line OG    ,500mg,74.29%,0.11%,$50
8,Cresco, Lemon Stilton    ,1.0g,75.24%,0.09%,$90
9,Cresco, Lime Skunk x Green Line OG    ,500mg,75.75%,0.12%,$50
10,Cresco, Lime Skunk x Scarlet Queen    ,1.0g,71.84%,0.12%,$90
11,Cresco, Scarlet Queen    ,500mg,75.19%,0.15%,$50
12,Moxie, GG #4    ,500mg,72.86%,0.00%,$50
13,Moxie, Lemonhead x GMO    ,500mg,82.01%,0.00%,$50
14,Moxie, Slymer    ,500mg,73.16%,0.00%,$50
15,Moxie, Tropical Thunder    ,500mg,74.51%,0.00%,$50
16,Prime Wellness, PT Starqueen #22    ,500mg,80.44%,0.00%,$60
17,Rythm, 3 Chems    ,500mg,75.81%,0.00%,$60
18,Rythm, Brownie Scout #3    ,500mg,73.44%,0.00%,$60
19,Rythm, GG #4    ,500mg,75.89%,0.00%,$60
20,Select, Garlic Cookies    ,500mg,84.47%,0.00%,$60
21,Select, Lemon Grenade    ,500mg,84.04%,0.00%,$60
22,Select, Star Dawg x Northern Lights    ,500mg,82.24%,0.00%,$60
23,Select, Tre OG    ,500mg,83.54%,0.00%,$60
24,Cresco, GG #4    ,500mg,69.53%,0.14%,$50
25,Cresco, Honey Boo x Lime Sorbet    ,500mg,75.40%,1.62%,$50
26,Cresco, OG #18    ,500mg,73.49%,0.24%,$50
27,Prime Wellness, Chem de la Chem #2    ,500mg,77.47%,0.00%,$60
28,Prime Wellness, PT Stardawg #36    ,500mg,74.19%,0.00%,$60
29,Rythm, Do Si Dos    ,500mg,77.96%,0.00%,$60
30,GROWER,LIQUID SUGAR CARTS ,WT,THC,CBD,$
31,Agri-Kind, Berry Pink    ,500mg,78.89%,0.00%,$58
32,Agri-Kind, Philly Special    ,500mg,76.24%,0.00%,$58
33,Agri-Kind, Ice Cream Dream    ,500mg,79.14%,0.00%,$58
34,Agri-Kind, Valley of Cherries [ Platinum Reserve]    ,500mg,79.79%,0.00%,$65
35,GROWER,Co2 CARTS ,WT,THC,CBD,$
36,Rythm, Jet Fuel [300mg]    ,300mg,76.57%,0.00%,$35
37,Rythm, 3 Chems    ,500mg,84.97%,0.00%,$55
38,Rythm, 98 Bananas    ,500mg,79.35%,0.00%,$55
39,Rythm, Blue Lime Sap    ,500mg,74.41%,0.00%,$55
40,Rythm, Bubba Lime    ,500mg,82.74%,0.00%,$55
41,Rythm, Chem Trails    ,500mg,81.07%,0.00%,$55
42,Rythm, Gelato #33    ,500mg,81.05%,0.00%,$55
43,Rythm, Gorilla Island   ,500mg,0.00%,0.00%,$55
44,Rythm, Sour Cream    ,500mg,78.14%,0.00%,$55
45,Rythm, Star Tribe    ,500mg,80.27%,0.00%,$55
46,Rythm, Banana Cream [300mg]    ,300mg,86.50%,0.00%,$35
47,Rythm, Banana Cream    ,500mg,75.19%,0.00%,$55
48,Rythm, Brownie Scout    ,500mg,72.96%,0.00%,$55
49,Rythm, Hell's Fire OG [300mg]    ,300mg,76.21%,0.00%,$35
50,Cresco, 1:1 Remedi    ,500mg,41.98%,42.47%,$40
51,GROWER,DISTILLATE CARTS ,WT,THC,CBD,$
52,Double Bear, Sour Grapefruit    ,500mg,89.22%,0.00%,$40
53,Double Bear, Tangie Moonshine    ,1.0g,82.86%,0.00%,$75
54,Moxie, Raspberry Pina Colada   ,500mg,78.89%,0.00%,$40
55,gLeaf, Girl Scout Cookies    ,500mg,81.46%,0.22%,$50
56,gLeaf, Tangie    ,500mg,84.38%,0.17%,$50
57,gLeaf, Trainwreck    ,500mg,88.49%,0.31%,$50
58,gLeaf, Wedding Cake    ,500mg,85.64%,0.62%,$50
59,Moxie, Member Berry    ,1.0g,73.67%,0.00%,$80
60,Revel, Super Cereal    ,500mg,83.21%,0.00%,$45
61,Double Bear, Sour Cherry    ,1.0g,85.76%,0.00%,$75
62,gLeaf, Granddaddy Purple    ,500mg,84.98%,0.32%,$50
63,gLeaf, Northern Lights    ,500mg,82.09%,0.00%,$50
64,GROWER,PAX PODS ,WT,THC,CBD,$
65,Rythm, Bubba Lime    ,500mg,77.19%,0.00%,$60
66,Rythm, Brownie Scout    ,500mg,74.50%,0.00%,$60
67,Rythm, Blue Dream CBD    ,500mg,34.90%,41.90%,$60
68,GROWER,DART PODS ,WT,THC,CBD,$
69,Moxie, Sour Apple Haze    ,1.0g,79.56%,0.00%,$90
70,Moxie, Sunshine #4 [LLR]    ,500mg,76.55%,0.00%,$55
71,Standard Farms, Pineapple Fields    ,500mg,70.75%,0.00%,$55
72,Moxie, Raspberry Lime    ,500mg,83.09%,0.00%,$50
73,Moxie, XXX OG    ,500mg,71.08%,0.00%,$55
74,GROWER,DISPOSABLES ,WT,THC,CBD,$
75,Rythm, Golden Goat    ,300mg,81.44%,0.00%,$40
76,Rythm, Chem Trails [300mg]    ,300mg,74.04%,0.00%,$40
77,Rythm, Otto Pilot [300mg]    ,300mg,76.92%,0.00%,$40
78,Rythm, Pyromancy    ,300mg,78.71%,0.00%,$40
